company,country,averageage,averagetenure,women%,marketcap
"Vantiv, Inc.",USA,56.3,2.5,9.1,9.2
"IMS Health Holdings, Inc.",USA,53.6,4.8,12.5,9.2
Hochtief AG,Germany,57.3,3.6,18.8,9.2
XL Group plc,USA,66.4,6.7,15.4,9.2
Shaanxi Coal Industry Company Limited,China,49.4,3.7,11.1,9.2
Schroders plc,United Kingdom,59.9,11.4,20,9.1
"VeriSign, Inc.",USA,65.7,9.3,28.6,9.1
Michael Kors Holdings Limited,USA,61.8,6,50,9.1
Dr. Reddy's Laboratories,India,64.6,11.2,10,9.1
CCR S.A.,Brazil,60.1,4.6,18.2,9.1
"Expeditors International of Washington, Inc.",USA,61.8,8.7,18.2,9.1
Julius Baer Gruppe AG,Switzerland,57.8,5.4,22.2,9.1
ResMed Inc.,USA,63.4,13,12.5,9.1
Intact Financial Corporation,Canada,60.8,9.9,33.3,9.1
LG Display Co.,South Korea,58.3,4.4,0,9.1
Yara International ASA,Norway,54,3,37.5,9.1
Tesoro Corporation,USA,66.3,6.8,20,9
Lonza Group Ltd.,Switzerland,61.6,4.1,20,9
Symrise AG,Germany,59,4.6,25,9
Korea Zinc Co. Ltd.,South Korea,60.7,11.1,0,9
"Stericycle, Inc.",USA,64.8,12.4,10,9
Gecina,France,57.7,3.5,50,9
Sonova Holding AG,Switzerland,57.6,6.1,25,9
Whitbread plc,United Kingdom,54.3,5,40,9
Exor S.P.A.,Italy,49.2,4.5,26.7,9
"CDK Global, Inc.",USA,55.6,0.9,12.5,9
"Resona Holdings, Inc.",Japan,66,10.1,10,9
Neste OYJ,Finland,59.1,3.6,42.9,9
Alliant Energy Corporation,USA,58,7.4,50,9
Power Corporation Of Canada,Canada,61.7,10.5,16.7,8.9
Galenica AG,Switzerland,60.3,7.9,22.2,8.9
"Juniper Networks, Inc.",USA,58.1,8.6,10,8.9
JBS S.A.,Brazil,54.8,4.3,0,8.9
Pinnacle West Capital Corporation,USA,67.7,11.7,10,8.8
Newfield Exploration Company,USA,61.4,8.1,22.2,8.8
NN GROUP NV,Netherlands,61.4,1.6,28.6,8.8
Lotte Chemical Corp.,South Korea,58.6,0.2,14.3,8.8
United Internet AG,Germany,58.3,13.3,0,8.7
"GD Power Development Co., Ltd.",China,56.2,2.5,9.1,8.7
"Harley-Davidson, Inc.",USA,62.2,12.2,11.1,8.7
Stockland,Australia,59.8,5.4,37.5,8.7
Fiat Chrysler Automobiles NV,Netherlands,59.7,6.5,27.3,8.7
Arthur J. Gallagher & Co.,USA,66.1,9.8,20,8.7
SUEZ,France,56,4.2,45,8.7
Barclays Africa Group Ltd,South Africa,55.8,4.7,21.4,8.7
"The Cooper Companies, Inc.",USA,71.7,17.4,14.3,8.6
Capita plc,United Kingdom,50.7,4.1,30,8.6
Seagate Technology plc,USA,61.5,5.3,27.3,8.6
"Shenzhen Overseas Chinese Town Holding Co., Ltd",China,56.7,1.3,10,8.6
Aramark,USA,59.6,5.3,16.7,8.6
Jazz Pharmaceuticals plc,USA,55.3,3.5,18.2,8.6
The British Land Company plc,United Kingdom,57.4,5.7,25,8.6
Ets Franz Colruyt,Belgium,51,5.7,11.1,8.6
The Valspar Corporation,USA,59.8,7.8,18.2,8.6
Quintiles Transnational Holdings Inc.,USA,62.2,9.7,11.1,8.6
CNA Financial Corporation,USA,71,16.4,0,8.5
Arch Capital Group Ltd.,USA,58.2,8.3,9.1,8.5
"Scripps Networks Interactive, Inc.",USA,59.1,6.2,25,8.5
Novolipetsk Steel,Russia,58.6,7.8,0,8.5
Bankia SA,Spain,57.4,3.5,9.1,8.5
Metro Inc.,Canada,58.5,7.4,35.7,8.5
Bunge Limited,USA,56.5,7.2,20,8.5
Regency Centers Corporation,USA,62.9,15.3,11.1,8.5
Garmin Ltd.,USA,63.2,9.7,16.7,8.5
Wartsila Oyj,Finland,58.8,4.8,25,8.5
Wyndham Worldwide Corporation,USA,65.3,10.9,28.6,8.5
Dollarama Inc.,Canada,59.1,8.3,10,8.4
Xylem Inc.,USA,61.7,4.4,10,8.4
Electrolux AB,Sweden,55.6,5.1,33.3,8.4
NiSource Inc.,USA,60.3,5.9,22.2,8.4
Alleghany Corporation,USA,63.5,9.8,12.5,8.4
"IDEXX Laboratories, Inc.",USA,62.3,8.9,33.3,8.4
Uralkali PJSC,Russia,52,1.9,0,8.4
ALLY FINANCIAL INC.,USA,60.2,4.3,27.3,8.4
The AES Corporation,USA,62.2,6.3,20,8.3
CIMIC Group Ltd.,Australia,59.4,5.6,12.5,8.3
"Synopsys, Inc.",USA,62.8,14.7,20,8.3
Alrosa PJSC,Russia,49.2,1.2,15,8.3
Lear Corporation,USA,61.9,6.5,20,8.3
Teck Resources Limited,Canada,62.3,10,14.3,8.2
"Varian Medical Systems, Inc.",USA,61.3,8.1,20,8.2
Commerzbank AG,Germany,56.9,4.8,35,8.2
Chr.Hansen Holdings A/S,Denmark,54.8,4,20,8.2
SEI Investments Company,USA,69,25.2,33.3,8.2
Atmos Energy Corporation,USA,66.8,11.3,8.3,8.2
"Alexandria Real Estate Equities, Inc.",USA,61,9.9,14.3,8.2
Dabur India Ltd.,India,60.3,11.8,8.3,8.2
Norsk Hydro ASA,Norway,58.7,6.4,30,8.2
Constellation Software Inc.,Canada,56.3,7.6,0,8.2
Shree Cement Ltd.,India,67.2,12,9.1,8.1
"Gartner, Inc.",USA,63.1,14.1,22.2,8.1
Brixmor Property Group Inc.,USA,55.8,2.4,11.1,8.1
Ralph Lauren Corporation,USA,68.5,10.5,27.3,8.1
Godrej Consumer Products Ltd.,India,58.5,9,25,8.1
Johnson Matthey plc,United Kingdom,60.1,4,14.3,8.1
"Huntington Ingalls Industries, Inc.",USA,63.9,3.9,25,8.1
Hikma Pharmaceuticals plc,United Kingdom,60.4,11.8,10,8.1
Tractebel Energia S.A.,Brazil,59.8,5,0,8.1
Oil Search Ltd.,Australia,63.3,7.8,11.1,8.1
Gjensidige Forsikring ASA,Norway,56.5,4.3,50,8.1
Hanmi Science Co. Ltd.,South Korea,51,2.3,0,8
Canadian Utilities Limited,Canada,63.1,8.7,41.7,8
Sabre Corporation,USA,51.5,4.7,20,8
"ANSYS, Inc.",USA,61.1,8.7,11.1,8
Antero Resources Corporation,USA,59.6,7.5,0,8
Ferrari NV,Netherlands,54.8,4.3,30.8,8
"Alaska Air Group, Inc.",USA,59.4,8.5,45.5,8
LG Electronics Inc.,South Korea,58.4,2.7,0,8
Wynn Macau Ltd.,Hong Kong,59.1,6,11.1,8
Eicher Motors Limited,India,63.8,7.5,16.7,8
"China Northern Rare Earth (Group) High-Tech Co., Ltd.",China,52.9,4.1,7.1,8
"Westar Energy, Inc.",USA,61.9,10.9,22.2,8
PVH CORP.,USA,57.7,8.7,20,8
"Mid-America Apartment Communities, Inc.",USA,63.7,7.1,10,8
Aurizon Holdings Ltd.,Australia,55,3.3,25,7.9
A. O. Smith Corporation,USA,63.1,11.7,10,7.9
"Sanan Optoelectronics Co., Ltd.",China,56,1.8,12.5,7.9
"Darden Restaurants, Inc.",USA,55.5,1.1,25,7.9
Randstad Holding NV,Netherlands,55.6,4.4,28.6,7.9
DCC plc,United Kingdom,56.8,7.2,30,7.9
"Broadridge Financial Solutions, Inc.",USA,61.8,6,11.1,7.9
APA Group,Australia,63.2,5.4,25,7.9
MSCI Inc.,USA,58.3,6.5,33.3,7.9
Kangwon Land Inc.,South Korea,56.2,1.4,6.7,7.9
"Canadian Tire Corporation, Limited",Canada,65.9,8.2,18.8,7.8
DSV A/S,Denmark,57.5,4.8,33.3,7.8
Crescent Point Energy Corp.,Canada,57.4,8,22.2,7.8
Teleflex Incorporated,USA,64.2,9.6,22.2,7.8
Splunk Inc.,USA,55,5,20,7.8
Hargreaves Lansdown plc,United Kingdom,54.6,5,20,7.8
"Foot Locker, Inc.",USA,64.6,11.2,30,7.8
"Valeant Pharmaceuticals International, Inc.",USA,59.8,1.4,9.1,7.8
Singapore Technologies Engineering Ltd.,Singapore,57.1,5.3,7.1,7.8
Kroton Educacional S.A.,Brazil,68,1.5,22.2,7.8
"F5 Networks, Inc.",USA,59.7,8.2,22.2,7.8
"Techtronic Industries Co., Ltd.",Hong Kong,62.7,17.4,0,7.8
South32 Limited,Australia,59.5,3.5,12.5,7.8
"Affiliated Managers Group, Inc.",USA,53.9,7,12.5,7.8
S-Oil Corp.,South Korea,61,0.9,0,7.8
Banco de Sabadell S.A,Spain,59.3,8.2,13.3,7.8
UGI Corporation,USA,64.6,9.8,22.2,7.8
Brenntag AG,Germany,59.7,5.2,33.3,7.8
Mobile Telesystems PJSC,Russia,51.6,3.7,11.1,7.7
Tiffany & Co.,USA,66.9,15.1,20,7.7
Intertek Group plc,United Kingdom,57.4,3.4,37.5,7.7
TPG Telecom Limited,Australia,56,9.4,0,7.7
Unum Group,USA,60.2,6,23.1,7.7
"CADENCE DESIGN SYSTEMS, INC.",USA,63.7,13.1,11.1,7.7
Marine Harvest ASA,Norway,46.9,2.6,40,7.7
Origin Energy Ltd.,Australia,60.2,6.4,33.3,7.7
Severn Trent plc,United Kingdom,54.2,1.7,44.4,7.7
Comerica Incorporated,USA,60.2,12.3,22.2,7.6
Camden Property Trust,USA,65.4,16.4,10,7.6
"Everest Re Group, Ltd.",USA,67.3,8.6,11.1,7.6
"Qorvo, Inc.",USA,61.6,1.2,0,7.6
AMERCO,USA,68.4,14.9,0,7.6
Keppel Corporation Limited,Singapore,61,5.8,20,7.6
GPT Group,Australia,65.4,4.1,28.6,7.6
Ashland Inc.,USA,64,8,10,7.5
Torchmark Corporation,USA,65.1,10.3,18.2,7.5
Anglo American Platinum Ltd,South Africa,55.3,4.3,16.7,7.5
Rite Aid Corporation,USA,63.4,6.1,22.2,7.5
Ashtead Group plc,United Kingdom,56,7.2,11.1,7.5
Admiral Group plc,United Kingdom,51.9,8.3,30,7.5
3i Group plc,United Kingdom,57.9,3.6,37.5,7.5
Industrivarden AB,Sweden,58.4,3.3,37.5,7.5
Talanx AG,Germany,59.1,7.2,25,7.5
WorldPay Group plc,United Kingdom,56.6,1.3,11.1,7.5
InterContinental Hotels Group plc,United Kingdom,57.7,4.1,33.3,7.5
"Raymond James Financial, Inc.",USA,60.9,12.6,18.2,7.5
Standard Life plc,United Kingdom,58.3,4,33.3,7.5
Burberry Group plc,United Kingdom,55.5,6.1,36.4,7.5
Gail India Ltd.,India,56.4,2.3,14.3,7.4
"Helmerich & Payne, Inc.",USA,64.5,14.2,10,7.4
Ingenico Group,France,58.2,5.8,33.3,7.4
Huntington Bancshares Incorporated,USA,62.2,8.6,18.2,7.4
"HD Supply Holdings, Inc.",USA,61.9,3.3,25,7.4
YES BANK Limited,India,66.3,4,10,7.4
Fluor Corporation,USA,63.9,8,18.2,7.4
Gildan Activewear Inc.,Canada,62.6,10,25,7.4
SKF AB,Sweden,57.7,4.7,25,7.4
"NATIONAL RETAIL PROPERTIES, INC.",USA,60.4,8.7,0,7.3
Coca-Cola HBC AG,United Kingdom,53.4,3,15.4,7.3
W. P. Carey Inc.,USA,70.1,8.1,16.7,7.3
Range Resources Corporation,USA,62.2,8.9,22.2,7.3
Zalando SE,Germany,47,1.8,11.1,7.3
"New York Community Bancorp, Inc.",USA,70.7,10.5,16.7,7.3
ageas SA/NV,Belgium,59,3.9,28.6,7.3
Tech Mahindra Ltd.,India,64.4,8.7,10,7.3
Open Text Corporation,Canada,58.3,12.3,33.3,7.3
W. R. Berkley Corporation,USA,63.6,24.1,11.1,7.3
Gemdale Corp.,China,50.3,1,14.3,7.3
Bashneft PJSOC,Russia,55,1.9,0,7.2
News Corporation,USA,54.3,2,25,7.2
"CROWN HOLDINGS, INC.",USA,68.2,11.3,8.3,7.2
Hyundai Heavy Industries Co.,South Korea,62,1.1,0,7.2
Genting Singapore PLC,Singapore,64,13.2,0,7.2
RioCan Real Estate Investment Trust,Canada,66.9,12.3,33.3,7.2
Vedanta Ltd.,India,63,2,12.5,7.2
Alkermes plc,USA,64.7,4.7,28.6,7.2
Turquoise Hill Resources Ltd.,Canada,58.9,3.1,28.6,7.2
Meridian Energy Ltd.,New Zealand,67.5,4.4,37.5,7.2
ASX Ltd.,Australia,58.5,4,22.2,7.2
Swiss Life Holding,Switzerland,58.7,6.5,18.2,7.2
Enagas S.A.,Spain,62,5.8,23.1,7.1
APARTMENT INVESTMENT AND MANAGEMENT COMPANY,USA,66.1,12,25,7.1
"CoStar Group, Inc.",USA,61.1,13.8,12.5,7.1
"Eletrobras, Centrais Eletricas Brasileiras S.A.",Brazil,57,3.1,0,7.1
ITC Holdings Corp.,USA,66.3,7.4,11.1,7.1
"Leggett & Platt, Incorporated",USA,63.6,12.8,22.2,7.1
"Gaming and Leisure Properties, Inc.",USA,60.4,3,0,7.1
Kohl's Corporation,USA,58.6,10.7,20,7.1
"NetApp, Inc.",USA,62.5,7.4,10,7.1
Eiffage,France,59.5,7,41.7,7.1
Mapfre S.A.,Spain,58.9,9,16.7,7.1
Inter Pipeline Ltd.,Canada,65.3,7.1,25,7.1
CPFL Energia S.A.,Brazil,58.3,1.4,14.3,7.1
The Goodyear Tire & Rubber Company,USA,61.8,6.3,15.4,7.1
"PulteGroup, Inc.",USA,59,8.2,20,7
"Nordstrom, Inc.",USA,56.3,6.7,16.7,7
Signet Jewelers Limited,USA,64.8,6.2,40,7
FLEXTRONICS INTERNATIONAL LTD.,USA,62.4,5.2,0,7
CIT Group Inc.,USA,64.1,6,30.8,7
Marks and Spencer Group plc,United Kingdom,55.1,3.2,36.4,7
Shoprite Holdings Ltd,South Africa,62.1,14.6,7.1,7
Barry Callebaut AG,Switzerland,54.6,5.1,10,7
Investment AB Kinnevik,Sweden,55.3,7,22.2,7
DDR Corp.,USA,57.3,9.4,0,7
KT Corp.,South Korea,59.3,1.7,0,7
Crown Resorts Ltd.,Australia,62.8,9,16.7,7
"MEDNAX, Inc.",USA,62.3,14.6,20,7
"Zayo Group Holdings, Inc.",USA,52.1,3.6,28.6,7
Packaging Corporation of America,USA,59.5,8,9.1,7
ISS A/S,Denmark,53.5,3.3,37.5,7
Yandex NV,Netherlands,57.3,10,22.2,7
Targa Resources Corp.,USA,64,5.6,10,7
Siemens Limited,India,60.1,9.1,10,6.9
Carlisle Companies Incorporated,USA,60.5,7.2,20,6.9
E*TRADE Financial Corporation,USA,64.6,4.7,27.3,6.9
BorgWarner Inc.,USA,63.9,9.1,11.1,6.9
"Jack Henry & Associates, Inc.",USA,55.3,3.4,37.5,6.9
Mondi plc,United Kingdom,59.2,6.6,22.2,6.9
Lojas Americanas S.A.,Brazil,53.4,11.4,14.3,6.9
"Spectrum Brands Holdings, Inc.",USA,59.1,4.8,0,6.9
RPM International Inc.,USA,63.2,11.7,15.4,6.9
Stora Enso Oyj,Finland,59.4,4.5,25,6.9
Sonic Healthcare Limited,Australia,59.9,11.9,28.6,6.9
"NVR, Inc.",USA,65.4,12.3,0,6.9
Bed Bath & Beyond Inc.,USA,67.6,19.8,20,6.9
WEG S.A.,Brazil,57.7,6.9,0,6.8
CDW Corporation,USA,57.9,4.8,21.4,6.8
Allegion plc,USA,61.2,2.8,16.7,6.8
Mallinckrodt plc,USA,63,2.8,27.3,6.8
Global Logistic Properties Limited,Singapore,63.2,5.1,0,6.8
Technip,France,58.7,5.6,41.7,6.8
Alfa Laval AB,Sweden,55.8,8.6,36.4,6.8
China International Travel Service Corp. Ltd.,China,55.7,2.5,0,6.8
"Domino's Pizza, Inc.",USA,54.9,8.6,12.5,6.8
Governor and Company of the Bank of Ireland,Ireland,57.6,4.7,16.7,6.8
"Equity LifeStyle Properties, Inc.",USA,60.8,12.3,20,6.8
FactSet Research Systems Inc.,USA,59.9,10.4,22.2,6.8
Adani Ports and Special Economic Zone Ltd.,India,57.6,6.2,9.1,6.8
Societe Bic,France,56.2,15.7,30,6.8
Hyatt Hotels Corporation,USA,59,6.4,16.7,6.8
EnCana Corporation,Canada,61.6,5.1,27.3,6.8
"Steel Dynamics, Inc.",USA,62.6,13.5,9.1,6.8
Computer Sciences Corporation,USA,58.7,3.9,10,6.8
"American Campus Communities, Inc.",USA,60.6,8.5,12.5,6.8
"Zillow Group, Inc.",USA,48.9,9.3,0,6.7
Zee Entertainment Enterprises Ltd.,India,55.1,8.4,12.5,6.7
DEXUS Property Group,Australia,62.8,4.4,37.5,6.7
Korea Aerospace Industries Co. Ltd.,South Korea,58.2,1.7,0,6.7
Royal Mail plc,United Kingdom,58.5,5.5,37.5,6.7
EDP Renovaveis S.A.,Spain,55.3,5,5.9,6.7
Nedbank Group Ltd,South Africa,53.5,4.9,20,6.7
Asciano Ltd,Australia,64.4,5.8,12.5,6.7
The Middleby Corporation,USA,65,16.7,28.6,6.7
Yue Yuen Industrial (Holdings) Ltd.,Hong Kong,52.5,4.2,15.4,6.7
Zodiac Aerospace,France,60.9,2.3,54.5,6.7
Axalta Coating Systems Ltd.,USA,52.2,2.7,11.1,6.7
Aristocrat Leisure Ltd.,Australia,60.7,6.3,28.6,6.6
Signature Bank,USA,62.8,9.1,22.2,6.6
IGM Financial Inc.,Canada,61.1,9.8,16.7,6.6
Aurobindo Pharma Ltd.,India,54.9,12.2,10,6.6
Casino Guichard Perrachon,France,60.8,9.3,30.8,6.6
MegaFon PJSC,Russia,51.1,2.4,9.1,6.6
Antofagasta plc,United Kingdom,62.8,10.3,9.1,6.6
Swedish Match Ab,Sweden,59,8.5,40,6.6
"Align Technology, Inc.",USA,60.5,10.5,12.5,6.6
Kinross Gold Corporation,Canada,60.4,9.6,33.3,6.6
Southwestern Energy Company,USA,61.8,6,12.5,6.6
Meda AB,Sweden,53.7,3,33.3,6.6
"Samsung SDI Co., Ltd.",South Korea,56,2,0,6.6
Avery Dennison Corporation,USA,59.4,9.2,20,6.6
Schibsted ASA,Norway,50.9,4.5,40,6.5
Lamar Advertising Company,USA,64.7,16.6,14.3,6.5
FMC Corporation,USA,61.3,8.1,10,6.5
"Diamondback Energy, Inc.",USA,59.2,4.2,0,6.5
RSA Insurance Group plc,United Kingdom,58.9,3.3,20,6.5
"DexCom, Inc.",USA,60.6,7.3,11.1,6.5
IDEX Corporation,USA,56.1,5,25,6.5
Dufry AG,Switzerland,60.8,6.4,22.2,6.5
Leucadia National Corporation,USA,64.8,6.9,9.1,6.5
Lennox International Inc.,USA,60.5,10.7,30,6.5
Swiss Prime Site AG,Switzerland,58.1,8.4,12.5,6.4
Babcock International Group plc,United Kingdom,60.1,5.6,16.7,6.4
SNC-Lavalin Group Inc.,Canada,59.8,4.3,10,6.4
Recordati Industria Chimica e Farmaceutica Spa,Italy,58.6,14.8,22.2,6.4
Westinghouse Air Brake Technologies Corporation,USA,68.5,14.4,0,6.4
Persimmon plc,United Kingdom,55,5.9,25,6.4
"Zhejiang Dahua Technology Co., Ltd.",China,48.6,1.4,28.6,6.4
Caltex Australia Ltd.,Australia,61.3,4.6,28.6,6.4
Kilroy Realty Corporation,USA,58.2,7.8,16.7,6.4
Jacobs Engineering Group Inc.,USA,66.2,9.6,18.2,6.4
NetSuite Inc.,USA,57.6,9.6,22.2,6.4
Santos Ltd.,Australia,59.1,4.7,14.3,6.4
Smiths Group plc,United Kingdom,59.4,3.3,25,6.4
Pilgrim's Pride Corporation,USA,56.8,5.4,0,6.4
Medibank Private Ltd.,Australia,64.3,4.4,62.5,6.4
OGE Energy Corp.,USA,62.5,7,20,6.4
"CF Industries Holdings, Inc.",USA,60.7,6.9,20,6.4
TransUnion,USA,53.5,3.1,10,6.4
GKN plc,United Kingdom,56.3,5.1,11.1,6.4
Informa plc,United Kingdom,56.9,4.8,22.2,6.4
American Capital Agency Corp.,USA,58.4,5.3,11.1,6.4
"ROLLINS, INC.",USA,74.1,24,11.1,6.4
Trimble Navigation Limited,USA,59.1,7.6,22.2,6.4
Raia Drogasil S.A.,Brazil,57,1,11.1,6.4
"Omega Healthcare Investors, Inc.",USA,66.3,10.7,10,6.3
Owens Corning,USA,59.8,6.6,25,6.3
"Tasly Pharmaceutical Group Co., Ltd.",China,54,1.9,11.1,6.3
Flowserve Corporation,USA,60.4,8.1,20,6.3
Hana Financial Group Inc.,South Korea,59.9,1.9,9.1,6.3
Coway Co. Ltd.,South Korea,43.7,3,0,6.3
GoerTek Inc.,China,46.6,3,42.9,6.3
Elisa Corporation,Finland,56.6,3.4,42.9,6.3
NWS Holdings Limited,Hong Kong,61.1,10.4,0,6.3
Polymetal International plc,United Kingdom,53.8,7.1,22.2,6.3
Merlin Entertainments plc,United Kingdom,57.8,5.9,33.3,6.3
"American Financial Group, Inc.",USA,60.4,13.8,9.1,6.3
Fonciere des regions,France,55.9,5.1,40,6.3
"SS&C Technologies Holdings, Inc.",USA,60,8.4,12.5,6.2
Cathay Pacific Airways Ltd,Hong Kong,54.3,4.4,5.9,6.2
Taylor Wimpey plc,United Kingdom,53.1,5.4,22.2,6.2
"Reinsurance Group of America, Incorporated",USA,63.1,9.1,27.3,6.2
REA Group Limited,Australia,51.5,6.3,25,6.2
"The Ultimate Software Group, Inc.",USA,66.6,16.9,0,6.2
Sartorius Stedim Biotech,France,60.7,7.2,30,6.2
Fielmann AG,Germany,41.5,4.4,37.5,6.2
"United Rentals, Inc.",USA,63,9.6,18.2,6.2
"Spirit Realty Capital, Inc.",USA,60.2,4.2,22.2,6.2
Direct Line Insurance Group plc,United Kingdom,56,4.1,25,6.2
Leonardo-Finmeccanica S.p.A.,Italy,57.2,2.7,36.4,6.2
"Forest City Realty Trust, Inc.",USA,65.1,16.8,23.1,6.2
"FMC Technologies, Inc.",USA,64.7,8,25,6.2
Woolworths Holdings Ltd,South Africa,56.1,4.7,33.3,6.2
Macquarie Infrastructure Corporation,USA,67,8.2,16.7,6.2
Koninklijke Vopak NV,Netherlands,62.2,6.7,0,6.2
Cipla Limited,India,60.1,9.4,20,6.2
Hanmi Pharm Co. Ltd.,South Korea,54,4.3,0,6.2
Onex Corporation,Canada,69.8,17,18.2,6.2
Seb SA,France,52.3,7.9,33.3,6.2
Lundin Petroleum AB,Sweden,59.9,8.4,37.5,6.2
ARC Resources Ltd.,Canada,63.1,7.6,20,6.2
Singapore Exchange Limited,Singapore,63.9,4.6,18.2,6.1
Companhia Saneamento Basico do Estado de Sao Paulo - SABESP,Brazil,66,4.4,0,6.1
Sensata Technologies Holding N.V.,USA,60.9,5.4,10,6.1
"CommScope Holding Company, Inc.",USA,62.6,3.7,10,6.1
Tourmaline Oil Corp.,Canada,60.6,5.5,9.1,6.1
Rexam plc,United Kingdom,58.1,6.3,25,6.1
Arkema,France,56.4,7.2,33.3,6.1
Frontier Communications Corporation,USA,60.6,7.1,36.4,6.1
Herbalife Ltd.,USA,55.9,5.3,7.7,6.1
Reliance Steel & Aluminum Co.,USA,61.9,12.3,11.1,6.1
Voestalpine AG,Austria,60.5,9.5,16.7,6
"PerkinElmer, Inc.",USA,63.3,11,25,6
"AQUA AMERICA, INC.",USA,62.4,10.5,25,6
Ambuja Cements Ltd.,India,56.7,8.2,8.3,6
Hankook Tire Co. Ltd.,South Korea,59.2,3,0,6
"SANY Heavy Industry Co., Ltd.",China,49.8,2.3,11.1,6
"Seattle Genetics, Inc.",USA,56.6,10.7,11.1,6
easyJet plc,United Kingdom,55,3.6,30,6
Mirvac Group Ltd.,Australia,59.5,4.3,50,6
JetBlue Airways Corporation,USA,58.4,9.2,20,6
CCL Industries Inc.,Canada,63,12.4,22.2,6
Straumann Holding AG,Switzerland,55.6,10.1,0,6
Bankinter S.A.,Spain,56.8,8.9,30,6
"Arrow Electronics, Inc.",USA,64.7,11,22.2,6
"Tyler Technologies, Inc.",USA,64.4,7.9,11.1,6
Idea Cellular Ltd,India,65,7.4,25,6
Motherson Sumi Systems Ltd.,India,55.3,8,20,6
St. James's Place plc,United Kingdom,58.9,8.7,22.2,5.9
Hyundai Steel Co.,South Korea,53.6,3.4,0,5.9
STERIS plc,USA,66.3,1,18.2,5.9
Hubbell Incorporated,USA,59.2,5.2,11.1,5.9
Liberty Property Trust,USA,63.4,13.2,22.2,5.9
LEG Immobilien AG,Germany,64.3,2.2,16.7,5.9
Eurofins Scientific SE,Luxembourg,56.6,13,40,5.9
Westlake Chemical Corporation,USA,67,9.8,12.5,5.9
JSW Steel Ltd.,India,59.2,7.4,8.3,5.9
Seven Generations Energy Ltd.,Canada,58.7,4.6,9.1,5.9
Deutsche Lufthansa AG,Germany,60,3.6,30,5.9
Groupe Eurotunnel SE,France,67.1,6.8,36.4,5.9
J Sainsbury plc,United Kingdom,56,4.8,33.3,5.9
Clariant AG,Switzerland,55,4.6,30,5.9
"Fortinet, Inc.",USA,58.6,7.3,14.3,5.9
RMB Holdings Ltd,South Africa,57.5,13.6,14.3,5.8
Hyundai Glovis Co.,South Korea,57,4.2,0,5.8
Banco Popular Espanol S.A,Spain,62.8,7.1,18.8,5.8
"Staples, Inc.",USA,58.4,6.9,27.3,5.8
City Developments Limited,Singapore,62.7,16.3,14.3,5.8
"KAR Auction Services, Inc.",USA,59.4,3,22.2,5.8
"Wanhua Chemical Group Co.,Ltd.",China,56.2,4.5,0,5.8
Millicom International Cellular S.A.,Luxembourg,54.6,1.1,12.5,5.8
Celesio AG,Germany,57.3,6.3,33.3,5.8
"Spirit AeroSystems Holdings, Inc.",USA,66.8,7.1,11.1,5.7
"TreeHouse Foods, Inc.",USA,66.6,9.6,12.5,5.7
CI Financial Corp.,Canada,62.5,11.2,9.1,5.7
Tim Participacoes S.A.,Brazil,59.8,2.3,10,5.7
Orion Oyj,Finland,56,5.3,28.6,5.7
Auckland International Airport Ltd.,New Zealand,50,3.9,37.5,5.7
Glanbia plc,Ireland,56.7,4.9,4.5,5.7
Croda International plc,United Kingdom,57.6,4,25,5.7
Boliden AB,Sweden,57.9,6.1,36.4,5.7
Polaris Industries Inc.,USA,56.8,6.8,22.2,5.7
MarketAxess Holdings Inc.,USA,58.3,9.5,10,5.7
"West Pharmaceutical Services, Inc.",USA,56.9,6.7,22.2,5.7
Axel Springer SE,Germany,65.2,9.2,22.2,5.7
Osram Licht AG,Germany,55.1,2.9,16.7,5.7
Pinnacle Foods Inc.,USA,56.4,3.9,28.6,5.7
Scor Se,France,54.8,3.9,41.7,5.6
Gemalto,Netherlands,61.4,6.3,20,5.6
Wm Morrison Supermarkets plc,United Kingdom,55.1,1.1,25,5.6
Mediobanca SPA,Italy,56.6,4.2,27.8,5.6
"Post Holdings, Inc.",USA,66.6,3.4,0,5.6
Genpact Limited,USA,57.8,4.5,18.2,5.6
Emera Incorporated,Canada,62.9,6.8,33.3,5.6
Kakao Corp.,South Korea,43.5,1.5,12.5,5.6
PCCW Limited,Hong Kong,59.3,7.9,12.5,5.6
Gamesa Corporacion Tecnologica S.A.,Spain,61.7,7.8,25,5.6
Hammerson plc,United Kingdom,54.9,5.5,20,5.6
"CBOE Holdings, Inc.",USA,64.4,10,28.6,5.6
Lotte Shopping Co.,South Korea,63.5,5.1,27.3,5.6
Davide Campari-Milano S.p.A.,Italy,52.6,11.8,22.2,5.6
Cadila Healthcare Limited,India,60.1,11.3,14.3,5.6
"The Michaels Companies, Inc.",USA,54,5.4,18.2,5.6
Yamana Gold Inc.,Canada,64.5,8.6,20,5.5
CJ Corp.,South Korea,62,7.1,0,5.5
"Carter's, Inc.",USA,65.2,9.4,22.2,5.5
"ServiceMaster Global Holdings, Inc.",USA,58.3,2,14.3,5.5
"Alnylam Pharmaceuticals, Inc.",USA,62.3,8.2,18.2,5.5
Sartorius AG,Germany,68.5,11.4,25,5.5
Service Corporation International,USA,67.8,21.7,9.1,5.5
Baloise Holding,Switzerland,58.8,5.8,10,5.5
Six Flags Entertainment Corporation,USA,57,5.3,0,5.5
"Harman International Industries, Incorporated",USA,63.6,7.5,27.3,5.5
Discovery Limited,South Africa,54.7,9.1,15,5.5
