Company,Country,Board size,Average age,Average tenure,# Over life expectancy,# Women,Market cap ($m)
Western Energy Services Corp.,Canada,5,58.6,5.2,0,0,190.18
Zotefoams plc,UK,6,54.3,6.3,0,2,190.36
Findel plc,UK,7,57.4,4.9,0,1,190.64
Silicon Graphics International Corp.,US,6,65.8,7.8,0,0,191.18
Black Diamond Group Limited,Canada,9,61.2,4.7,0,1,191.26
CIFC LLC,US,10,55.7,3,0,0,191.75
"America's Car-Mart, Inc.",US,7,55.4,9,0,0,192.54
Braemar Shipping Services plc,UK,6,58,5.7,0,1,192.73
"Tobira Therapeutics, Inc.",US,9,55.9,1.2,0,2,192.86
"Patriot National, Inc.",US,6,67,1.5,1,0,193.18
Fifth Street Asset Management Inc.,US,7,55.6,1,0,0,193.82
"Electro Scientific Industries, Inc.",US,8,61.1,4.6,0,0,193.92
"Equity Bancshares, Inc.",US,15,59.1,8.1,1,1,193.99
"OvaScience, Inc.",US,9,55.4,3.1,0,2,194
"Hurco Companies, Inc.",US,8,58.3,6.8,0,1,194.43
Sparton Corporation,US,7,60.7,7.7,0,0,194.49
SHW AG,Germany,6,57.2,2.7,0,1,194.93
"Hallmark Financial Services, Inc.",US,4,58.3,12.8,0,0,195.15
"Independence Contract Drilling, Inc.",US,7,57.3,3,0,0,195.29
Anglo Pacific Group plc,UK,6,58.3,2.2,0,1,195.43
Consolidated Water Co. Ltd.,US,8,61.6,23.5,0,0,195.62
Valneva,France,7,63.4,6.1,0,1,195.78
vTv Therapeutics Inc.,US,7,57.7,0.9,0,0,196.22
Charter Financial Corporation,US,7,58.9,17.9,0,1,196.37
Carr's Group plc,UK,7,57,9.7,0,0,196.4
Abengoa S.A.,Spain,16,57.4,11.9,0,3,196.66
Liontrust Asset Management plc,UK,6,57.2,5,0,0,196.89
"Penns Woods Bancorp, Inc.",US,15,58.9,10.1,0,1,196.95
InVivo Therapeutics Holdings Corp.,US,5,62.4,3.2,0,1,197.51
Nobilis Health Corp.,US,6,57.8,2.5,0,1,198.09
Liquor Stores N.A. Ltd.,Canada,9,59.7,7.2,0,1,198.76
Farmers Capital Bank Corporation,US,12,61.4,7.8,0,1,198.81
"Guidance Software, Inc.",US,7,54.1,1.4,0,0,200.39
Ocwen Financial Corporation,US,8,62.4,4.3,0,2,200.64
"RESOURCE AMERICA, INC.",US,9,69,15.2,0,0,201.01
"TRC Companies, Inc.",US,8,58.9,5,0,2,201.34
Bel Fuse Inc.,US,8,66,18.8,1,0,201.76
Westport Innovations Inc.,Canada,10,65.1,6.8,0,2,201.88
STV Group plc,UK,9,53,5.8,0,3,202.01
Oxford Immunotec Global PLC,US,6,62.2,4.8,0,1,202.87
"DXP Enterprises, Inc.",US,4,67.8,13.5,1,0,203.17
Hostelworld Group PLC,UK,5,49,6,0,1,203.32
"Boot Barn Holdings, Inc.",US,7,48.6,3.3,0,1,204.66
"BSB Bancorp, Inc.",US,10,68.3,14.5,1,0,205.89
Capstone Mining Corp.,Canada,8,57,6.4,0,1,206.4
"T2 Biosystems, Inc.",US,8,56.8,4.5,0,0,206.42
Arctic Cat Inc.,US,7,57,6.6,0,2,206.89
"Medgenics, Inc.",US,8,65.5,5,0,1,206.9
Immune Design Corp.,US,8,66.1,3.6,0,0,206.97
goeasy Ltd.,Canada,6,63,8.2,0,1,207.18
"PICO Holdings, Inc.",US,7,61.1,9.1,0,2,207.34
"Atlas Financial Holdings, Inc.",US,5,45.8,5.6,0,0,207.73
"First Business Financial Services, Inc.",US,9,62.8,12.2,0,2,207.76
"Old Second Bancorp, Inc.",US,10,59.9,10.6,0,1,208.07
